,Aceite Base,Espesante,Grado NLGI Consistencia,Viscosidad del Aceite Base a 40°C. cSt,"Penetración de Cono a 25°C, 0.1mm","Punto de Gota, °C","Estabilidad Mecánica, %","Punto de Soldadura Cuatro Bolas, kgf","Desgaste Cuatro Bolas, mm","Carga Timken Ok, lb","Resistencia al Lavado por Agua a 80°C, %",Registro NSF,Factor de Velocidad,"Temperatura de Servicio °C, min","Temperatura de Servicio °C, max",color,textura
0,3.0,5.0,3.0,114.77470516785192,305.0709926139634,228.8439268241035,5.014633806321787,345.1121016696796,-99.0,41.0512265667071,2.9574554781411013,-99.0,325766.16372078104,-12.435689115480095,103.11579819257709,4.0,0.0
1,-99.0,4.0,2.0,347.1082244211755,269.7158723958777,301.16710583794617,2.380002538090131,874.6248275930908,0.3751398615018574,56.57905516277337,1.4312329298912592,-99.0,311469.82363522716,-15.803172634203559,155.9454899913671,1.0,0.0
2,1.0,0.0,2.5,3864.405687458704,374.15733746410234,142.44296105372106,1.504702016055248,567.173842031709,0.48644867530345276,63.60117388630819,-99.0,-99.0,-99.0,-1.735316673033207,159.87043583901178,1.0,3.0
3,4.0,-99.0,2.0,40.10726857286741,243.93648051057636,257.39908461416,10.594354804660405,253.29343837054859,-99.0,42.06883126216972,3.6990820390483266,-99.0,912310.8031207314,-5.735179233624273,165.46555870114153,5.0,0.0
4,4.0,-99.0,2.0,230.07767053718317,276.24676044229625,273.68174105255275,5.410589633581617,312.59558491704786,-99.0,36.75613022012179,2.34094390207677,-99.0,308648.7301815625,-9.965826339648112,162.7256596517379,7.0,0.0
5,4.0,-99.0,2.5,40.0,326.49106941306053,251.99419264738282,8.018342046385591,227.61404184262173,-99.0,44.3571239314344,3.570495265483306,-99.0,817354.4389684531,-7.33072865224846,161.4030078229581,5.0,0.0
6,1.0,0.0,2.0,850.9778384442949,382.1913739812022,306.614687007054,1.4202916347272836,873.6100684956931,0.5360127114987003,65.62571871788629,-99.0,-99.0,244710.24068990923,-29.822589761900552,152.4403871431947,1.0,1.0
7,5.0,4.0,2.5,217.5146128739786,374.29074694295036,205.27215759541514,7.49037741744902,289.25866532389,0.47614807219783467,48.74728986932521,4.208062971233733,-99.0,-99.0,-21.17526913693849,94.82488267637139,4.0,4.0
8,-99.0,4.0,0.0,274.4820310064406,275.2564476451604,310.5348569612686,1.8762215605581465,834.4287815274413,0.4179690409595927,61.952161650282676,1.0481451158400223,-99.0,345872.1159408404,-10.433529896174967,149.61599314849948,1.0,0.0
9,1.0,0.0,0.0,418.1048545483174,304.7427928760785,297.9904138191829,3.0414598337486916,877.8612131105945,0.45231044362439377,65.62847495048494,2.6008835817823908,-99.0,251790.2427652576,-27.75083794103606,151.73714275874357,1.0,1.0
10,5.0,4.0,0.0,250.34514154894208,315.64138916457244,277.60476382015986,4.1108907612554,345.46852584871675,0.5418462853939358,48.41361639102675,2.7633352826858237,-99.0,-99.0,-19.832007747757675,95.97445241454223,4.0,4.0
11,3.0,5.0,1.5,107.88092714360072,361.71996960356535,224.25228394268376,12.416917090977076,300.5652801556746,-99.0,45.69454375119114,-99.0,-99.0,356510.48214227526,-13.356441717287435,115.63735834902168,4.0,0.0
12,1.0,1.0,3.0,739.4474247656894,302.25267721631263,257.5099433359633,5.433834870477482,594.668293461303,0.518896241598245,45.0444332220023,1.5469247696125987,-99.0,-99.0,-1.6395489164469765,140.76513287740013,1.0,1.0
13,-99.0,3.0,0.0,610.319961216048,231.86778681063143,309.17460660032896,8.077870718281735,331.9576917025494,-99.0,36.7370630436906,5.4284075276524035,-99.0,-99.0,0.77184576548719,237.07714813932756,2.0,0.0
14,2.0,0.0,2.5,399.8918412135149,288.2081477497656,302.91213081610175,0.8714405590406955,493.8136125536277,-99.0,55.49611744012055,0.43381219932245846,-99.0,-99.0,-20.87187969229037,183.4276872462969,3.0,0.0
